rank,name,global_name,units,delta_vs_last_month,link,price,image_url,manufacturer,manufacturer_ja
56,长安CS75PLUS,CS75 Plus,8194,-2.0,https://www.autohome.com.cn/5179/#pvareaid=6861512,10.89-14.39万,./images/by_series/5179_00cc24d5.png,长安,長安
57,海狮05 DM-i,Hai Shi 05 DM-i,8185,2.0,https://www.autohome.com.cn/7807/#pvareaid=6861512,9.79-12.79万,./images/by_series/7807_039414c6.png,比亚迪,BYD
58,亚洲龙,アバロン,8101,-9.0,https://www.autohome.com.cn/4962/#pvareaid=6861512,17.88-25.68万,./images/by_series/4962_739259d4.png,丰田,トヨタ
59,北京越野BJ30,BAIC BJ30,7944,-8.0,https://www.autohome.com.cn/5771/#pvareaid=6861512,9.99-13.99万,./images/by_series/5771_78603b4f.png,北京越野,Beijing Off-road（北京越野）
60,问界M6,AITO M6,7907,33.0,https://www.autohome.com.cn/8529/#pvareaid=6861512,22.98-29.98万,./images/by_series/8529_dfb2b265.png,AITO 问界,AITO（問界）
61,奔驰GLC,GLC,7800,19.0,https://www.autohome.com.cn/3862/#pvareaid=6861512,35.18-46.28万,./images/by_series/3862_4dc3db90.png,奔驰,Mercedes-Benz
62,大唐,Da Tang,7796,44.0,https://www.autohome.com.cn/8102/#pvareaid=6861512,23.99-30.99万,./images/by_series/8102_fc9135f7.png,比亚迪,BYD
63,卡罗拉,カローラ,7311,28.0,https://www.autohome.com.cn/526/#pvareaid=6861512,11.68-15.58万,./images/by_series/526_00475b55.png,丰田,トヨタ
64,华境S,Hua Jing S,7306,-3.0,https://www.autohome.com.cn/8283/#pvareaid=6861512,15.98-20.68万,./images/by_series/8283_9bc04a5d.png,华境,Hozon（华境）
65,海狮05 EV,シーライオン05 EV (Sealion 05 EV),7252,-13.0,https://www.autohome.com.cn/7982/#pvareaid=6861512,11.78-16.38万,./images/by_series/7982_08d6f07e.png,比亚迪,BYD
66,奥迪A6L,A6L,7228,-1.0,https://www.autohome.com.cn/18/#pvareaid=6861512,32.29-55.89万,./images/by_series/18_41287a14.png,奥迪,Audi
67,小鹏GX,Xiao Peng GX,7002,-4.0,https://www.autohome.com.cn/8224/#pvareaid=6861512,27.98-35.98万,./images/by_series/8224_ecd097be.png,小鹏,Xpeng
68,帝豪,Geely Emgrand,6934,4.0,https://www.autohome.com.cn/3556/#pvareaid=6861512,6.29-9.79万,./images/by_series/3556_5bf02951.png,吉利汽车,Geely（吉利）
69,昂科威Plus,Envision Plus,6818,16.0,https://www.autohome.com.cn/3554/#pvareaid=6861512,22.99-25.99万,./images/by_series/3554_5674c06a.png,别克,Buick
70,元PLUS,Atto 3,6816,-32.0,https://www.autohome.com.cn/6298/#pvareaid=6861512,11.58-14.99万,./images/by_series/6298_05c713cc.png,比亚迪,BYD
71,奔驰C级,Cクラス,6742,45.0,https://www.autohome.com.cn/588/#pvareaid=6861512,29.99-34.56万,./images/by_series/588_e372ed03.png,奔驰,Mercedes-Benz
72,赛那SIENNA,シエナ,6581,-2.0,https://www.autohome.com.cn/6272/#pvareaid=6861512,29.88-39.38万,./images/by_series/6272_2915985e.png,丰田,トヨタ
73,星光L,Xing Guang L,6553,15.0,https://www.autohome.com.cn/8468/#pvareaid=6861512,11.28-13.58万,./images/by_series/8468_85297660.png,五菱汽车,Wuling（五菱）
74,蔚来ES9,NIO ES9,6474,1.0,https://www.autohome.com.cn/8509/#pvareaid=6861512,49.80-62.80万,./images/by_series/8509_d8a701ff.png,蔚来,NIO（蔚来）
