category_id,category,month,rank,series_id,name,units,price,link,image_url,series_url,manufacturer
1,燃油车,2025-11,22,5771,北京越野BJ30,4121.0,9.99-13.69万,https://www.autohome.com.cn/5771/#pvareaid=6861512,public/autohome_energy/guochan/images/1/22_21_北京越野BJ30.png,https://www.autohome.com.cn/5771/#pvareaid=6861512,北京越野
1,燃油车,2025-11,23,3495,传祺GS3,4097.0,7.98-9.98万,https://www.autohome.com.cn/3495/#pvareaid=6861512,public/autohome_energy/guochan/images/1/23_22_传祺GS3.png,https://www.autohome.com.cn/3495/#pvareaid=6861512,广汽传祺
1,燃油车,2025-11,24,2139,五菱宏光,3946.0,4.60-6.09万,https://www.autohome.com.cn/2139/#pvareaid=6861512,public/autohome_energy/guochan/images/1/24_23_五菱宏光.png,https://www.autohome.com.cn/2139/#pvareaid=6861512,五菱汽车
1,燃油车,2025-11,25,6335,长安UNI-V,3930.0,10.29-13.99万,https://www.autohome.com.cn/6335/#pvareaid=6861512,public/autohome_energy/guochan/images/1/25_24_长安UNI-V.png,https://www.autohome.com.cn/6335/#pvareaid=6861512,长安
1,燃油车,2025-11,26,4174,传祺M8,3824.0,18.98-23.98万,https://www.autohome.com.cn/4174/#pvareaid=6861512,public/autohome_energy/guochan/images/1/26_25_传祺M8.png,https://www.autohome.com.cn/4174/#pvareaid=6861512,广汽传祺
1,燃油车,2025-11,27,532,MG5,3419.0,6.79-9.89万,https://www.autohome.com.cn/532/#pvareaid=6861512,public/autohome_energy/guochan/images/1/27_26_MG5.png,https://www.autohome.com.cn/532/#pvareaid=6861512,名爵
1,燃油车,2025-11,28,5810,坦克300,3381.0,19.98-23.48万,https://www.autohome.com.cn/5810/#pvareaid=6861512,public/autohome_energy/guochan/images/1/28_27_坦克300.png,https://www.autohome.com.cn/5810/#pvareaid=6861512,坦克
1,燃油车,2025-11,29,4531,瑞虎5x,3144.0,5.99-9.99万,https://www.autohome.com.cn/4531/#pvareaid=6861512,public/autohome_energy/guochan/images/1/29_28_瑞虎5x.png,https://www.autohome.com.cn/4531/#pvareaid=6861512,奇瑞
1,燃油车,2025-11,30,3766,瑞虎7,3085.0,7.49-9.79万,https://www.autohome.com.cn/3766/#pvareaid=6861512,public/autohome_energy/guochan/images/1/30_29_瑞虎7.png,https://www.autohome.com.cn/3766/#pvareaid=6861512,奇瑞
1,燃油车,2025-11,31,8188,星光730,3017.0,7.30-9.18万,https://www.autohome.com.cn/8188/#pvareaid=6861512,public/autohome_energy/guochan/images/1/31_30_星光730.png,https://www.autohome.com.cn/8188/#pvareaid=6861512,五菱汽车
